taxel_id,x_mm,y_mm,z_mm,cad_distance_mm
1,-7.45866948,-0.80442889,1.9377763,0.001012931532014737
2,-7.24032101,1.9370259,1.93780601,0.000519775285165422
3,-7.00988064,5.22921165,1.93775712,0.00200383542286574
4,-6.82610763,7.97333403,1.93769891,0.0012145263454303497
5,-6.53146658,11.26026387,1.93782951,0.002298381246285906
6,-6.00006622,-1.35478789,4.53417757,0.00044657117804803513
7,-6.00372647,1.50179184,4.67021242,0.0009165829258921155
8,-5.94055243,4.93336235,4.69448457,0.0008529754512432939
9,-5.81660022,7.79060929,4.65440797,0.0036506009353565565
10,-6.07106495,13.96973406,1.93782184,0.0012588284793423258
11,-5.51333141,11.20680746,4.536848,0.002065949115893059
12,-5.0017979,14.00765355,4.28734202,0.0016470173233576666
13,-5.09707632,16.57086028,1.93780027,0.0018577740112611476
14,-4.40866763,16.2194301,3.70766158,0.0022849591354121017
15,-3.1037709,-1.55570508,5.41014857,0.0017302287167442509
16,-3.15461212,1.5038129,5.90611644,0.0010812600493140267
17,-3.20348468,5.19993,6.32908896,0.004119523387437226
18,-3.21601164,8.3044369,6.53483487,0.00231231964432607
19,-3.1409429,11.42030336,6.47498956,0.0013344510920620329
20,-2.83527189,15.06167934,5.87056449,0.0024795580345167126
21,-2.42756984,17.70908967,4.36265159,0.0017252039926021101
22,-2.71496388,18.81872693,1.93777956,0.0016803554691011387
23,2.38e-06,-1.55808447,5.4116888,7.4973246350979525e-06
24,1.99e-06,1.60830268,5.95092329,0.00017287932108781375
25,1.24e-06,5.43294958,6.43279476,0.0007718948480305744
26,-2e-08,8.63424733,6.69381112,0.0014722394267837069
27,-3.9e-07,12.48579856,6.62785389,0.0007273564795917529
28,-4.2e-07,15.63993516,6.05667345,0.002145242243319278
29,8e-08,18.02972832,4.50323706,0.00025368585462857485
30,1.58e-06,19.32616275,1.93777338,0.0015039438218773982
31,3.15461212,1.5038129,5.90611644,0.001049135291224475
32,3.1409429,11.42030336,6.47498956,0.0004267297941971603
33,2.83527189,15.06167934,5.87056449,0.001851780628842765
34,2.42756984,17.70908967,4.36265159,0.001328790526427758
35,3.1037709,-1.55570508,5.41014857,0.0010484211530954921
36,3.20348468,5.19993,6.32908896,0.004079228944155348
37,3.21601164,8.3044369,6.53483487,0.0020853978222269455
38,2.71496388,18.81872693,1.93777956,0.001514055766110068
39,4.40866763,16.2194301,3.70766158,0.0024636190587005806
40,5.0017979,14.00765355,4.28734202,0.001956040428971592
41,5.09707632,16.57086028,1.93780027,0.002084940169426243
42,6.00006622,-1.35478789,4.53417757,0.0005801031095258764
43,6.00372647,1.50179184,4.67021242,0.0009546875584141092
44,5.94055243,4.93336235,4.69448457,0.0006293200610603542
45,5.81660022,7.79060929,4.65440797,0.003003104472488834
46,5.51333141,11.20680746,4.536848,0.0016698491277999366
47,6.53146658,11.26026387,1.93782951,0.0018919732812405113
48,6.07106495,13.96973406,1.93782184,0.001457318928866854
49,7.24032101,1.9370259,1.93780601,0.00029022079875697056
50,7.00988064,5.22921165,1.93775712,0.001323430284590253
51,6.82610763,7.97333403,1.93769891,0.000828364950442971
52,7.45866948,-0.80442889,1.9377763,0.0010065623642990205
